Round: 1
Moved: AI45 3296
Moved: AI46 269
Moved: AI48 4220
Moved: AI49 3733
Moved: AI50 2200
Moved: AI51 1897
Moved: AI53 3875
Moved: AI55 2878
Moved: AI59 2030
Moved: AI60 1881
Moved: AI61 2678
Moved: AI62 4553
Moved: AI65 1487
Moved: AI67 3152
Moved: AI69 1990
Moved: AI70 1760
Moved: AI71 2089
Moved: AI72 3450
Moved: AI74 1739
Moved: AI75 3900
Moved: AI76 3948
Moved: AI77 3959
Moved: AI79 1610
Moved: AI82 567
Moved: AI88 2569
Moved: AI89 841
Moved: AI90 1617
Moved: AI91 3700
Moved: AI93 3243
Moved: AI95 2519
Moved: AI97 3767
Moved: AI98 3079
Moved: DocZom 89
Moved: AI102 4477
Moved: AI103 3707
Moved: AI104 455
Moved: AI109 2825
Moved: AI111 2638
Moved: AI112 2057
Moved: AI113 3245
Moved: AI114 1839
Moved: AI117 3021
Moved: AI118 3454
Moved: AI121 4176
Moved: AI122 1435
Moved: AI124 1099
Moved: AI125 2941
Moved: AI126 2792
Moved: AI131 2218
Moved: AI132 1013
Moved: AI134 2448
Moved: AI137 3366
Moved: AI138 3113
Moved: AI147 4368
Moved: AI148 3975
Moved: AI149 1628
Round: 13
Moved: AI1 732
Moved: AI2 2932
Moved: AI7 3945
Moved: AI10 4767
Moved: AI12 3702
Moved: AI15 3275
Moved: AI16 3455
Moved: AI19 2109
Moved: AI21 3150
Moved: AI23 3434
Moved: AI27 3635
Moved: AI28 3203
Moved: AI29 4568
Moved: AI30 2093
Moved: AI35 4318
Moved: AI36 3342
Moved: AI38 4263
Moved: AI39 1069
Moved: AI42 3950
Moved: AI43 2205
Moved: AI45 3232
Moved: AI46 267
Moved: AI48 4176
Moved: AI49 3683
Moved: AI50 2182
Moved: AI53 3766
Moved: AI55 2806
Moved: AI59 2004
Moved: AI60 1832
Moved: AI61 2642
Moved: AI62 4537
Moved: AI65 1484
Moved: AI67 3129
Moved: AI69 1963
Moved: AI70 1728
Moved: AI71 2058
Moved: AI72 3429
Moved: AI75 3802
Moved: AI76 3910
Moved: AI77 3876
Moved: AI79 1591
Moved: AI82 556
Moved: AI88 2520
Moved: AI89 822
Moved: AI90 1616
Moved: AI91 3581
Moved: AI95 2515
Moved: AI97 3746
Moved: AI98 3044
Moved: DocZom 88
Moved: AI102 4465
Moved: AI103 3620
Moved: AI104 443
Moved: AI111 2632
Moved: AI113 3170
Moved: AI114 1796
Moved: AI117 2985
Moved: AI121 4132
Moved: AI122 1396
Moved: AI124 1081
Moved: AI125 2897
Moved: AI126 2777
Moved: AI131 2188
Moved: AI132 987
Moved: AI134 2432
Moved: AI137 3324
Moved: AI138 3058
Moved: AI147 4328
Moved: AI148 3971
Moved: AI149 1623
Round: 14
Moved: AI1 727
Moved: AI2 2893
Moved: AI7 3873
Moved: AI10 4759
Moved: AI12 3678
Moved: AI15 3229
Moved: AI16 3380
Moved: AI19 2065
Moved: AI21 3062
Moved: AI23 3421
Moved: AI27 3617
Moved: AI28 3197
Moved: AI29 4548
Moved: AI35 4317
Moved: AI36 3311
Moved: AI38 4257
Moved: AI42 3921
Moved: AI43 2184
Moved: AI45 3171
Moved: AI46 265
Moved: AI48 4128
Moved: AI49 3638
Moved: AI50 2168
Moved: AI53 3671
Moved: AI59 1981
Moved: AI61 2599
Moved: AI62 4518
Moved: AI65 1480
Moved: AI67 3105
Moved: AI69 1936
Moved: AI70 1695
Moved: AI71 2031
Moved: AI72 3408
Moved: AI75 3703
Moved: AI76 3870
Moved: AI77 3775
Moved: AI79 1572
Moved: AI82 545
Moved: AI88 2474
Moved: AI89 804
Moved: AI90 1615
Moved: AI95 2511
Moved: AI97 3727
Moved: AI98 3020
Moved: DocZom 87
Moved: AI102 4455
Moved: AI103 3548
Moved: AI104 432
Moved: AI111 2626
Moved: AI114 1766
Moved: AI117 2952
Moved: AI121 4083
Moved: AI124 1058
Moved: AI125 2852
Moved: AI126 2764
Moved: AI131 2147
Moved: AI132 959
Moved: AI134 2418
Moved: AI137 3290
Moved: AI138 2994
Moved: AI147 4286
Moved: AI148 3967
Moved: AI149 1618
Round: 15
Moved: AI1 722
Moved: AI2 2849
Moved: AI7 3819
Moved: AI10 4748
Moved: AI12 3651
Moved: AI15 3179
Moved: AI16 3300
Moved: AI23 3405
Moved: AI27 3596
Moved: AI28 3192
Moved: AI29 4525
Moved: AI35 4316
Moved: AI36 3268
Moved: AI38 4249
Moved: AI42 3890
Moved: AI43 2165
Moved: AI45 3120
Moved: AI46 263
Moved: AI48 4083
Moved: AI49 3593
Moved: AI50 2152
Moved: AI59 1960
Moved: AI61 2562
Moved: AI62 4501
Moved: AI65 1477
Moved: AI67 3082
Moved: AI69 1910
Moved: AI70 1663
Moved: AI71 1998
Moved: AI72 3387
Moved: AI76 3839
Moved: AI79 1552
Moved: AI88 2419
Moved: AI90 1614
Moved: AI95 2506
Moved: AI97 3701
Moved: AI98 2992
Moved: DocZom 86
Moved: AI102 4444
Moved: AI111 2621
Moved: AI117 2927
Moved: AI121 4042
Moved: AI124 1040
Moved: AI125 2809
Moved: AI126 2752
Moved: AI131 2106
Moved: AI134 2403
Moved: AI137 3253
Moved: AI138 2941
Moved: AI147 4248
Moved: AI148 3963
Moved: AI149 1614
Round: 16
Moved: AI1 718
Moved: AI2 2795
Moved: AI7 3767
Moved: AI10 4740
Moved: AI12 3624
Moved: AI15 3128
Moved: AI23 3389
Moved: AI27 3578
Moved: AI28 3185
Moved: AI29 4504
Moved: AI35 4315
Moved: AI36 3233
Moved: AI38 4241
Moved: AI42 3864
Moved: AI43 2144
Moved: AI46 261
Moved: AI48 4037
Moved: AI49 3545
Moved: AI50 2138
Moved: AI59 1937
Moved: AI61 2527
Moved: AI62 4481
Moved: AI65 1474
Moved: AI67 3052
Moved: AI69 1872
Moved: AI71 1966
Moved: AI72 3368
Moved: AI76 3797
Moved: AI79 1533
Moved: AI90 1613
Moved: AI95 2501
Moved: AI97 3683
Moved: AI98 2964
Moved: DocZom 85
Moved: AI102 4432
Moved: AI111 2616
Moved: AI117 2891
Moved: AI121 4000
Moved: AI125 2760
Moved: AI126 2741
Moved: AI134 2391
Moved: AI137 3218
Moved: AI147 4213
Moved: AI148 3958
Moved: AI149 1610
Round: 17
Moved: AI1 714
Moved: AI10 4732
Moved: AI12 3599
Moved: AI23 3375
Moved: AI27 3559
Moved: AI28 3178
Moved: AI29 4487
Moved: AI35 4314
Moved: AI36 3201
Moved: AI38 4235
Moved: AI42 3840
Moved: AI43 2120
Moved: AI46 259
Moved: AI48 3989
Moved: AI49 3502
Moved: AI50 2121
Moved: AI59 1911
Moved: AI62 4465
Moved: AI65 1470
Moved: AI67 3020
Moved: AI72 3349
Moved: AI76 3760
Moved: AI79 1510
Moved: AI90 1612
Moved: AI95 2497
Moved: AI97 3664
Moved: AI98 2936
Moved: DocZom 84
Moved: AI102 4420
Moved: AI111 2609
Moved: AI117 2854
Moved: AI121 3955
Moved: AI126 2725
Moved: AI134 2376
Moved: AI137 3172
Moved: AI147 4169
Moved: AI148 3953
Moved: AI149 1606
Round: 18
Moved: AI1 709
Moved: AI10 4723
Moved: AI12 3576
Moved: AI23 3362
Moved: AI27 3539
Moved: AI28 3173
Moved: AI29 4464
Moved: AI35 4313
Moved: AI38 4227
Moved: AI42 3814
Moved: AI43 2101
Moved: AI46 257
Moved: AI50 2105
Moved: AI62 4447
Moved: AI65 1467
Moved: AI67 2996
Moved: AI72 3331
Moved: AI76 3723
Moved: AI90 1611
Moved: AI95 2493
Moved: AI97 3646
Moved: AI98 2902
Moved: AI102 4410
Moved: AI111 2602
Moved: AI121 3918
Moved: AI126 2712
Moved: AI134 2362
Moved: AI147 4139
Moved: AI148 3948
Moved: AI149 1602
Round: 19
Moved: AI1 705
Moved: AI10 4712
Moved: AI12 3555
Moved: AI23 3348
Moved: AI27 3521
Moved: AI28 3167
Moved: AI29 4441
Moved: AI35 4312
Moved: AI38 4221
Moved: AI42 3791
Moved: AI50 2092
Moved: AI62 4433
Moved: AI65 1464
Moved: AI72 3311
Moved: AI90 1610
Moved: AI95 2488
Moved: AI97 3625
Moved: AI102 4400
Moved: AI111 2597
Moved: AI126 2701
Moved: AI134 2349
Moved: AI147 4097
Moved: AI148 3944
Moved: AI149 1598
Round: 20
Moved: AI10 4704
Moved: AI23 3334
Moved: AI27 3499
Moved: AI28 3160
Moved: AI29 4420
Moved: AI35 4311
Moved: AI38 4213
Moved: AI62 4417
Moved: AI65 1461
Moved: AI90 1609
Moved: AI95 2483
Moved: AI102 4387
Moved: AI111 2591
Moved: AI126 2687
Moved: AI134 2337
Moved: AI148 3939
Moved: AI149 1594
Round: 21
Moved: AI10 4693
Moved: AI28 3155
Moved: AI35 4310
Moved: AI38 4205
Moved: AI65 1458
Moved: AI90 1608
Moved: AI95 2478
Moved: AI102 4376
Moved: AI111 2584
Moved: AI148 3934
Round: 22
Moved: AI35 4309
VICTORY IN ROUND 22! AI35 was the last zombie. You survived with 20 health left.
Zombies still active: 0
First zombies killed:
AI22 1
AI24 2
AI96 3
Zombone 4
Zombine 5
AI87 6
AI146 7
MrBonyPants 8
AI106 9
AI123 10
Last zombies killed:
AI35 10
AI90 9
AI148 8
AI38 7
AI28 6
AI95 5
AI10 4
AI111 3
AI65 2
AI102 1
Most active zombies:
AI35 22
AI10 21
AI28 21
AI38 21
AI65 21
AI90 21
AI95 21
AI102 20
AI111 20
AI148 20
Least active zombies:
AI106 1
AI123 1
AI133 1
AI146 1
AI22 1
AI24 1
AI87 1
AI96 1
MrBonyPants 1
Zombine 1
